tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
tt11359596,After Man,After Man,1990,91,"['Animation', 'Documentary']"
tt1131593,Juvenile Liaison 2,Juvenile Liaison 2,1990,87,['Documentary']
tt11293164,Rus,Rus,1990,75,['Drama']
tt11247764,A Fu ge de tao hua yun,A Fu ge de tao hua yun,1990,86,['Comedy']
tt11193844,Royal Angels - On Duty of Death,Royal Angels - On Duty of Death,1990,76,['Action']
tt1118682,Moraig,Moraig,1990,60,['Documentary']
tt11180260,Queen of Phoenix: Against Destiny,Queen of Phoenix: Against Destiny,1990,86,['Action']
tt1116846,Tigh-e aftab,Tigh-e aftab,1990,98,['Action']
tt11163006,Lupus IV: Anak Mami Sudah Besar,Lupus IV: Anak Mami Sudah Besar,1990,94,['Comedy']
tt11162952,Ricky (Nakalnya Anak Muda),Ricky (Nakalnya Anak Muda),1990,84,"['Drama', 'Romance']"
tt11160398,Lutera,Lutera,1990,157,['Action']
tt10678072,Rain in Swing City,Rain in Swing City,1990,80,['Documentary']
tt1086888,Tonavan mutka,Tonavan mutka,1990,69,['Drama']
tt10856432,Die Wahi,Die Wahi,1990,97,['Documentary']
tt10847706,Rammpass,Rammpass,1990,91,['Drama']
tt10842012,Nestwärme,Nestwärme,1990,65,['Documentary']
tt10840704,Meine Freunde in der DDR,Meine Freunde in der DDR,1990,92,['Documentary']
tt10796496,Konrad Zuse,Konrad Zuse,1990,73,['Documentary']
tt10796304,Joseph Czapski,Joseph Czapski,1990,63,['Documentary']
tt10766656,Berner Beben,Berner Beben,1990,115,['Documentary']
tt10764090,Aufbauer der Nation,Aufbauer der Nation,1990,70,['Documentary']
tt10758092,Prince Moon and Princess Sun,Ho Dong Wangjawa Rang Nang Gongju,1990,72,"['Adventure', 'Animation', 'Drama']"
tt1075365,Naksitrallid,Naksitrallid,1990,61,['Animation']
tt10690578,Misafir,Misafir,1990,75,['Romance']
tt10883110,Aji Pamungkas,Aji Pamungkas,1990,80,"['Action', 'Drama', 'Fantasy']"
tt0403400,Pangarap na ginto,Pangarap na ginto,1990,104,['Drama']
tt10133734,Madurai Veeran Engasami,Madurai Veeran Engasami,1990,135,['Drama']
tt10045260,The Exorcist III: Legion,The Exorcist III: Legion,1990,105,"['Horror', 'Mystery', 'Thriller']"
tt0497739,Crocodile Jones: The Son of Indiana Dundee,Crocodile Jones: The Son of Indiana Dundee,1990,99,"['Adventure', 'Comedy']"
tt0497725,Bala at rosaryo,Bala at rosaryo,1990,118,['Action']
tt0496481,La belgiq'kitsch,La belgiq'kitsch,1990,60,['Documentary']
tt0494953,Gunahon Ka Devta,Gunahon Ka Devta,1990,149,['Action']
tt0494648,Barumbado,Barumbado,1990,90,['Action']
tt0494645,Ayaw matulog ng gabi,Ayaw matulog ng gabi,1990,110,"['Action', 'Drama', 'Romance']"
tt0493354,Kafan,Kafan,1990,147,['Horror']
tt0493043,Periodes met zon,Periodes met zon,1990,75,['Documentary']
tt0492391,Mankurt,Mankurt,1990,85,['Drama']
tt0489882,Zeitschleifen - Im Dialog mit Christa Wolf,Zeitschleifen - Im Dialog mit Christa Wolf,1990,101,['Documentary']
tt0489393,Little and Big Weapon,Little and Big Weapon,1990,101,"['Action', 'Comedy']"
tt0486885,Revolt in Sobibor,Opstand in Sobibor,1990,140,['Documentary']
tt0764979,Ambasador je ubijen u Stokholmu,Ambasador je ubijen u Stokholmu,1990,87,['Documentary']
tt0485225,Heinz Forthmann,Heinz Forthmann,1990,59,['Documentary']
tt0484030,Comando de federales,Comando de federales,1990,90,"['Action', 'Crime', 'Drama']"
tt0482677,Aakhri Sangam,Aakhri Sangam,1990,160,"['Action', 'Romance']"
tt0481891,On Our Own,On Our Own,1990,47,['Comedy']
tt2737000,Vidrohi,Vidrohi,1990,135,['Action']
tt0476241,Le grand ruban (Truck),Le grand ruban (Truck),1990,90,['Drama']
tt0475100,Maija and Paija,Maija and Paija,1990,96,['Fantasy']
tt0473286,Water te gek...,Water te gek...,1990,50,['Documentary']
tt0472498,Wandering Heroes,You xia er,1990,92,['Adventure']
tt2741948,Yaadon Ka Mausam,Yaadon Ka Mausam,1990,148,['Romance']
tt0471093,La bella y la bestia,La bella y la bestia,1990,45,"['Drama', 'Fantasy', 'Mystery']"
tt0470385,Jiao Yulu,Jiao Yulu,1990,100,['Biography']
tt0484186,Pyasi Nigahen,Pyasi Nigahen,1990,127,['Thriller']
tt10073136,Si Buta dari Gua Hantu: Lembah Tengkorak,Si Buta dari Gua Hantu: Lembah Tengkorak,1990,88,['Action']
tt0772691,...Y Melon se comio las plumas,...Y Melon se comio las plumas,1990,90,['Comedy']
tt0776732,Pitcairn - Endstation der Bounty,Pitcairn - Endstation der Bounty,1990,90,['Documentary']
tt10026926,Balada Tiga Jagoan,Balada Tiga Jagoan,1990,75,['Action']
tt0996508,Scene di Bohème,Scene di Bohème,1990,130,"['Drama', 'Mystery']"
tt0995730,Latest from the DaDaeR,Letztes aus der DaDaeR,1990,86,"['Comedy', 'Musical']"
tt0985590,Beyond El Rocco,Beyond El Rocco,1990,90,['Documentary']
tt0978726,Taqdeer Ka Tamasha,Taqdeer Ka Tamasha,1990,217,"['Action', 'Crime', 'Drama']"
tt0972902,Terezín Diary,Terezín Diary,1990,88,['Documentary']
tt0969731,The Origins of Scientific Cinematography: The Pioneers,The Origins of Scientific Cinematography: The Pioneers,1990,52,['Documentary']
tt0961030,Afacan ates parçasi,Afacan ates parçasi,1990,81,['Drama']
tt0961027,Acilar Içinde,Acilar Içinde,1990,80,"['Drama', 'Music']"
