titleId,title,startYear,runtimeMinutes,genres,averageRating,numVotes,sum_pop_actor,main_Actor,nb_main_actor,id_main_actor,poster_path,popularity_movie
tt0119190,George de la jungle,1997,92,"Action,Adventure,Comedy",5.5,78614.0,74942,unpopolar,0.0,no_id_main_actor,/lWp8hUqE4oLPxsYgilXoYoVThfU.jpg,19.722
tt0120211,Still Breathing,1997,109,"Comedy,Drama,Fantasy",6.5,2797.0,33436,unpopolar,0.0,no_id_main_actor,/rjt7GzzMHuy8dScycsNqknDqsHr.jpg,4.91
tt0120616,La momie,1999,124,"Action,Adventure,Fantasy",7.1,429003.0,84713,Rachel Weisz,1.0,nm0001838,/yhIsVvcUm7QxzLfT6HW2wLf5ajY.jpg,76.914
tt0160236,Allô la police,1999,77,"Comedy,Family,Romance",3.9,10780.0,83808,Alfred Molina,1.0,nm0000547,/4LP5BieqdFNlCFjxsvaA3d6hGGd.jpg,9.876
tt0109327,Brainscan,1994,96,"Horror,Sci-Fi",6.0,11832.0,53241,unpopolar,0.0,no_id_main_actor,/u9bqzoXGs4a8nb4m0dlEEamVze1.jpg,8.024
tt0110365,Little Odessa,1994,98,"Crime,Drama",6.7,8213.0,94088,Tim Roth,1.0,nm0000619,/80zDn3oanRMWDSDX1cPKZVIi8OO.jpg,7.002
tt0113211,Passions d'automne,1995,107,"Comedy,Drama",7.7,17579.0,66599,unpopolar,0.0,no_id_main_actor,/pcdi92LC26RW3zm97SwF3NXYTUr.jpg,2.143
tt0115645,L'ombre du doute,1996,108,"Crime,Drama,Mystery",6.1,9324.0,81925,Liam Neeson,1.0,nm0000553,/oK8UKDrjFS14OFoihaQPfmmMOyI.jpg,9.736
tt0165710,"Détroit, ville du Rock",1999,95,"Adventure,Comedy,Music",6.8,39590.0,38665,unpopolar,0.0,no_id_main_actor,/jedOctnsD20K4IvOeh5jG811B8L.jpg,12.035
tt0114660,Distractions à Denver quand sonne le glas,1995,115,"Crime,Drama,Thriller",6.7,28076.0,102925,"Christopher Lloyd, Christopher Walken",2.0,"nm0000502, nm0000686",/oPp6Gbrasox66WyMvPS0k8OakQf.jpg,10.388
tt0117106,La disparition de Garcia,1996,142,"Biography,Drama,Mystery",6.1,984.0,37948,unpopolar,0.0,no_id_main_actor,/g7inpAWZfjuoUuN8Bbmsm0IoCs2.jpg,1.983
tt0118966,Derniers recours,1998,100,"Action,Crime,Drama",6.1,17014.0,107014,"Michael Keaton, Marcia Gay Harden",2.0,"nm0000474, nm0001315",/oOUqXIOoIPMiTuTN7almDNb3ARk.jpg,14.818
tt0123221,Billets pour deux,1998,115,"Comedy,Drama,Romance",5.6,1971.0,58600,unpopolar,0.0,no_id_main_actor,/5vsjad22y8jbjWwENUhF5T3O1RB.jpg,2.393
tt0112606,Au revoir mon amour,1995,106,"Comedy,Romance",6.1,6355.0,69586,unpopolar,0.0,no_id_main_actor,/qMAvEXDLLhIKJzCSiMUgn1ypsO4.jpg,5.777
tt0129884,Réservé aux chiens,1998,91,"Comedy,Romance",5.2,2294.0,66781,unpopolar,0.0,no_id_main_actor,/9B5ZKG8Ht1xacz61x3sRovY6glG.jpg,2.553
